sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
079-079;9503.29;933;324;0;0;0;0;RESIDENCIAL ABIERTO;5;156.73977;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638722.149;6168458.36;-58.48741045;-34.62027137;0.016493211
079-117;11249.81;916;331;0;0;0;0;RESIDENCIAL ABIERTO;5;220.04579;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639162.025;6168496.794;-58.48262195;-34.61986547;0.019559956
079-092;9704.38;933;324;0;0;0;0;RESIDENCIAL ABIERTO;5;160.05639;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638791.162;6168527.237;-58.48666945;-34.61964138;0.016493211
079-104;13828.12;838;297;0;0;0;0;RESIDENCIAL ABIERTO;5;255.82591;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638969.868;6168512.327;-58.48471906;-34.61975155;0.018500411
067-004;13938.75;903;370;0;0;0;0;RESIDENCIAL ABIERTO;5;319.45179;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639459.49;6168519.432;-58.47938322;-34.6196211;0.022918252
079-080;9505.99;884;336;3376.65;1;0;0;RESIDENCIAL ABIERTO;5;155.15058;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638624.962;6168554.842;-58.48848559;-34.61941509;0.016321349
079-136;14008.94;854;279;0;0;0;0;RESIDENCIAL ABIERTO;5;242.44489;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639270.703;6168560.321;-58.48144775;-34.61927828;0.017306441
067-005A;6357.51;880;310;0;0;0;0;RESIDENCIAL ABIERTO;5;142.11436;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639404.606;6168605.432;-58.4799956;-34.6188536;0.022353777
067-028A;361.25;903;370;0;0;0;0;RESIDENCIAL ABIERTO;5;8.27922;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639760.416;6168642.468;-58.47612332;-34.61847146;0.022918256
067-016;13951.35;903;370;0;0;0;0;RESIDENCIAL ABIERTO;5;319.74056;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639576.511;6168591.206;-58.47811947;-34.61895842;0.022918252
079-118;14793.05;838;297;0;0;0;0;RESIDENCIAL ABIERTO;5;273.67751;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639077.593;6168601.358;-58.48355943;-34.61893467;0.018500411
067-005B;6367.41;880;310;0;0;0;0;RESIDENCIAL ABIERTO;5;142.33566;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639370.647;6168658.685;-58.4803745;-34.61837833;0.022353776
079-093;9657.89;933;324;0;0;0;0;RESIDENCIAL ABIERTO;5;159.28962;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638693.926;6168623.657;-58.48774511;-34.61878566;0.016493211
079-105;13852.08;933;324;0;0;0;0;RESIDENCIAL ABIERTO;5;228.46528;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638872.677;6168608.966;-58.48579429;-34.61889387;0.016493211
079-081;9524.15;884;336;3376.65;1;0;0;RESIDENCIAL ABIERTO;5;155.44698;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638527.678;6168651.47;-58.48956179;-34.61855748;0.016321349
079-119A;6712.73;838;297;0;0;0;0;RESIDENCIAL ABIERTO;5;124.18827;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639016.449;6168676.965;-58.4842383;-34.61826165;0.018500412
067-017A;6390.46;880;310;0;0;0;0;RESIDENCIAL ABIERTO;5;142.85091;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639521.652;6168677.04;-58.47873155;-34.61819241;0.022353776
067-028B;10868.77;903;370;0;0;0;0;RESIDENCIAL ABIERTO;5;249.09321;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639682.49;6168669.744;-58.47697721;-34.61823627;0.022918252
079-137;13977.19;854;279;0;0;0;0;RESIDENCIAL ABIERTO;5;241.89541;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639198.742;6168673.211;-58.48225067;-34.61827077;0.017306441
067-006A;6366.55;813;303;0;0;0;0;RESIDENCIAL ABIERTO;5;131.29155;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639332.777;6168718.159;-58.48079706;-34.61784754;0.020622087
079-094;9678.75;884;336;0;0;0;0;RESIDENCIAL ABIERTO;5;157.97026;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638596.565;6168720.351;-58.48882216;-34.61792748;0.016321349
079-106;13851.09;933;324;0;0;0;0;RESIDENCIAL ABIERTO;5;228.44895;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638775.517;6168705.537;-58.48686916;-34.61803679;0.016493211
067-017B;6370.27;880;310;0;0;0;0;RESIDENCIAL ABIERTO;5;142.39959;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639487.657;6168730.287;-58.47911086;-34.61771721;0.022353776
067-040A;5666.15;804;318;0;0;0;0;RESIDENCIAL ABIERTO;5;125.88101;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639839.208;6168716.04;-58.47527661;-34.61779775;0.022216321
079-119B;9962.39;838;297;0;0;0;0;RESIDENCIAL ABIERTO;5;184.30831;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638976.668;6168726.885;-58.4846801;-34.6178172;0.018500411
079-120A;3734.66;815;286;0;0;0;0;RESIDENCIAL ABIERTO;5;84.81527;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638885.376;6168757.043;-58.48568012;-34.61755779;0.022710306
079-082;9477.68;821;290;3376.65;1;0;0;RESIDENCIAL ABIERTO;5;163.12473;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638430.668;6168747.898;-58.49063495;-34.61770164;0.017211462
067-040B;3911.56;804;318;0;0;0;0;RESIDENCIAL ABIERTO;5;86.90047;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639783.661;6168763.576;-58.4758899;-34.61737696;0.02221632
067-006B;6362.2;813;303;0;0;0;0;RESIDENCIAL ABIERTO;5;131.20184;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639298.777;6168771.535;-58.48117642;-34.61737117;0.020622087
079-120B;4596.59;815;286;0;0;0;0;RESIDENCIAL ABIERTO;5;104.38997;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638845.436;6168806.424;-58.48612354;-34.61711822;0.022710307
