sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
059-110;14048.06;622;292;32375.84;1;0;0;RESIDENCIAL ABIERTO;5;622;CABALLITO;6;5641534.09;6169325.497;-58.45690416;-34.61207351;0.044276576
002-051;13278.7;1096;226;10597.17;1;0;0;COMERCIAL ADMINISTRATIVO;1;80.8257;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649392.492;6169232.038;-58.37124014;-34.61180204;0.006086868
045-036;13016.05;774;322;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;262.80824;CABALLITO;6;5642687.923;6169314.028;-58.44432649;-34.61201711;0.02019109
045-118;7616.54;1023;457;0;0;0;0;RESIDENCIAL ABIERTO;5;223.82598;CABALLITO;6;5643574.118;6169305.412;-58.43466635;-34.61197118;0.029386832
087-041;20126.92;732;304;10276.92;1;0;0;RESIDENCIAL ABIERTO;5;191.89182;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635707.504;6169402.215;-58.52042251;-34.61216905;0.009534088
002-059;8425.68;1096;226;10597.17;1;0;0;COMERCIAL ADMINISTRATIVO;1;51.28601;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649499.46;6169237.432;-58.37007529;-34.61173787;0.006086869
036-120;20366.1;1153;540;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;1153;ALMAGRO - BOEDO;5;5644911.714;6169261.16;-58.42008038;-34.61218197;0.056613686
020-006;11514.64;755;382;5842.33;1;1;0;RESIDENCIAL ABIERTO;5;265.09011;BALVANERA - SAN CRISTOBAL;3;5646294.073;6169282.515;-58.40501784;-34.61179346;0.023022006
012-021;14568.27;364;139;2177.06;1;0;0;RESIDENCIAL ABIERTO;5;364;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5647838.781;6169254.994;-58.38817761;-34.61182013;0.024985808
045-129;3956.05;832;355;1496.66;1;0;0;RESIDENCIAL ABIERTO;5;177.71936;CABALLITO;6;5643736.779;6169341.443;-58.43289961;-34.61162374;0.044923436
